"state","city","longitud","latitude"
"MICHOACAN DE OCAMPO       ","Briseñas","-10256323409","2026958889"
"MICHOACAN DE OCAMPO       ","Buenavista","-10258706347","1921076755"
"MICHOACAN DE OCAMPO       ","Caracuaro","-10112751079","1901667723"
"MICHOACAN DE OCAMPO       ","Coahuayana","-10365852038","1869504514"
"MICHOACAN DE OCAMPO       ","Coalcoman de Vazquez Pallares","-10316022822","1877307715"
"MICHOACAN DE OCAMPO       ","Coeneo","-10158462534","1982058502"
"MICHOACAN DE OCAMPO       ","Contepec","-10016156387","1995372997"
"MICHOACAN DE OCAMPO       ","Copandaro","-10121589802","1989334716"
"MICHOACAN DE OCAMPO       ","Cotija","-10269304478","1980412735"
"MICHOACAN DE OCAMPO       ","Cuitzeo","-10114116824","1997010984"
